id,domain,owner_user_id,status,plan,limits,metadata,created_at,updated_at
34792fa8-c2c5-4621-90b4-28515a0b34a3,test-cafe-001.nama.app,,provisioning,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Test Cafe"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran"", ""description"": ""A complete starter kit for cafés, including menu, gallery, personality quiz, testimonials, and events pages.""}",2026-07-09 18:27:53.716682+00,2026-07-09 18:27:53.065+00
2477bdc0-2231-4df7-a2a6-c80f3f316c29,cafeteria-mrfsnhoe.nama.app,,provisioning,pro,"{""maxMedia"": 500, ""maxPages"": 200, ""maxAdmins"": 10, ""maxStorage"": 2147483648, ""maxVisitors"": 100000, ""maxTemplates"": 20, ""maxAnalyticsRetention"": 365}","{""name"": ""کافه تست نما"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran"", ""description"": ""A complete starter kit for cafés, including menu, gallery, personality quiz, testimonials, and events pages.""}",2026-07-11 03:17:41.023969+00,2026-07-11 03:17:40.422+00
566689a5-0a2f-482a-b050-59fe42b6a1cb,khane.nama.app,,provisioning,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""خانه"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran"", ""description"": ""A complete starter kit for cafés, including menu, gallery, personality quiz, testimonials, and events pages.""}",2026-07-11 03:19:53.674205+00,2026-07-11 03:19:53.114+00
cc2579cf-566a-4dd1-a441-174b99c3990a,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-11 17:50:01.75269+00,2026-07-11 17:50:01.811+00
3f2a5e34-03a2-404f-a01f-952cb8d5463f,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 13:28:27.751537+00,2026-07-12 13:28:27.274+00
1f009cc6-3af8-4520-a672-7fd45305ad5c,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 13:35:01.400498+00,2026-07-12 13:35:01.625+00
f927c512-258b-4050-94c1-1013e0005bd5,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 13:35:02.074825+00,2026-07-12 13:35:02.28+00
8951b9ca-485c-4fe7-ab22-9bf624bf70dc,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 13:53:32.362334+00,2026-07-12 13:53:32.606+00
a186aff6-2f04-4f85-af98-ac9a8958bdff,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 14:13:10.391193+00,2026-07-12 14:13:10.637+00
818e1409-5a37-4e74-b5cb-f6bacca0c7fd,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 14:13:23.490287+00,2026-07-12 14:13:23.704+00
39c2a3eb-2aaa-4f62-a6bb-ac62fb0d2a34,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 14:13:30.86264+00,2026-07-12 14:13:31.112+00
4693b372-3578-4d92-8e7b-a093c4a6bbaa,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 14:13:36.763501+00,2026-07-12 14:13:36.994+00
f278e809-28ad-48e8-9917-177b81b8d2a9,,ae57417e-030c-49d3-9a18-a32619904fb3,active,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""Default Workspace"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran""}",2026-07-12 14:18:02.027978+00,2026-07-12 14:18:02.215+00
abec2304-ef4c-455d-b4a1-46ac03814329,yek.nama.app,,provisioning,free,"{""maxMedia"": 20, ""maxPages"": 10, ""maxAdmins"": 1, ""maxStorage"": 52428800, ""maxVisitors"": 1000, ""maxTemplates"": 1, ""maxAnalyticsRetention"": 30}","{""name"": ""arshia"", ""locale"": ""fa-IR"", ""timezone"": ""Asia/Tehran"", ""description"": ""A complete starter kit for cafés, including menu, gallery, personality quiz, testimonials, and events pages.""}",2026-07-12 14:25:29.478339+00,2026-07-12 14:25:28.87+00
